"modelID";"species";"method";"replication";"replicationID";"success";"training";"test.dep";"test.indep"
1;"sp";"maxent";"bootstrap";1;TRUE;TRUE;TRUE;FALSE
2;"sp";"maxent";"bootstrap";2;TRUE;TRUE;TRUE;FALSE
3;"sp";"maxent";"bootstrap";3;TRUE;TRUE;TRUE;FALSE
4;"sp";"maxent";"bootstrap";4;TRUE;TRUE;TRUE;FALSE
5;"sp";"maxent";"bootstrap";5;TRUE;TRUE;TRUE;FALSE
6;"sp";"maxent";"bootstrap";6;TRUE;TRUE;TRUE;FALSE
7;"sp";"maxent";"bootstrap";7;TRUE;TRUE;TRUE;FALSE
8;"sp";"maxent";"bootstrap";8;TRUE;TRUE;TRUE;FALSE
9;"sp";"maxent";"bootstrap";9;TRUE;TRUE;TRUE;FALSE
10;"sp";"maxent";"bootstrap";10;TRUE;TRUE;TRUE;FALSE
11;"sp";"maxent";"bootstrap";11;TRUE;TRUE;TRUE;FALSE
12;"sp";"maxent";"bootstrap";12;TRUE;TRUE;TRUE;FALSE
13;"sp";"maxent";"bootstrap";13;TRUE;TRUE;TRUE;FALSE
14;"sp";"maxent";"bootstrap";14;TRUE;TRUE;TRUE;FALSE
15;"sp";"maxent";"bootstrap";15;TRUE;TRUE;TRUE;FALSE
16;"sp";"maxent";"bootstrap";16;TRUE;TRUE;TRUE;FALSE
17;"sp";"maxent";"bootstrap";17;TRUE;TRUE;TRUE;FALSE
18;"sp";"maxent";"bootstrap";18;TRUE;TRUE;TRUE;FALSE
19;"sp";"maxent";"bootstrap";19;TRUE;TRUE;TRUE;FALSE
20;"sp";"maxent";"bootstrap";20;TRUE;TRUE;TRUE;FALSE
21;"sp";"rf";"bootstrap";1;TRUE;TRUE;TRUE;FALSE
22;"sp";"rf";"bootstrap";2;TRUE;TRUE;TRUE;FALSE
23;"sp";"rf";"bootstrap";3;TRUE;TRUE;TRUE;FALSE
24;"sp";"rf";"bootstrap";4;TRUE;TRUE;TRUE;FALSE
25;"sp";"rf";"bootstrap";5;TRUE;TRUE;TRUE;FALSE
26;"sp";"rf";"bootstrap";6;TRUE;TRUE;TRUE;FALSE
27;"sp";"rf";"bootstrap";7;TRUE;TRUE;TRUE;FALSE
28;"sp";"rf";"bootstrap";8;TRUE;TRUE;TRUE;FALSE
29;"sp";"rf";"bootstrap";9;TRUE;TRUE;TRUE;FALSE
30;"sp";"rf";"bootstrap";10;TRUE;TRUE;TRUE;FALSE
31;"sp";"rf";"bootstrap";11;TRUE;TRUE;TRUE;FALSE
32;"sp";"rf";"bootstrap";12;TRUE;TRUE;TRUE;FALSE
33;"sp";"rf";"bootstrap";13;TRUE;TRUE;TRUE;FALSE
34;"sp";"rf";"bootstrap";14;TRUE;TRUE;TRUE;FALSE
35;"sp";"rf";"bootstrap";15;TRUE;TRUE;TRUE;FALSE
36;"sp";"rf";"bootstrap";16;TRUE;TRUE;TRUE;FALSE
37;"sp";"rf";"bootstrap";17;TRUE;TRUE;TRUE;FALSE
38;"sp";"rf";"bootstrap";18;TRUE;TRUE;TRUE;FALSE
39;"sp";"rf";"bootstrap";19;TRUE;TRUE;TRUE;FALSE
40;"sp";"rf";"bootstrap";20;TRUE;TRUE;TRUE;FALSE
41;"sp";"gam";"bootstrap";1;TRUE;TRUE;TRUE;FALSE
42;"sp";"gam";"bootstrap";2;TRUE;TRUE;TRUE;FALSE
43;"sp";"gam";"bootstrap";3;TRUE;TRUE;TRUE;FALSE
44;"sp";"gam";"bootstrap";4;TRUE;TRUE;TRUE;FALSE
45;"sp";"gam";"bootstrap";5;TRUE;TRUE;TRUE;FALSE
46;"sp";"gam";"bootstrap";6;TRUE;TRUE;TRUE;FALSE
47;"sp";"gam";"bootstrap";7;TRUE;TRUE;TRUE;FALSE
48;"sp";"gam";"bootstrap";8;TRUE;TRUE;TRUE;FALSE
49;"sp";"gam";"bootstrap";9;TRUE;TRUE;TRUE;FALSE
50;"sp";"gam";"bootstrap";10;TRUE;TRUE;TRUE;FALSE
51;"sp";"gam";"bootstrap";11;TRUE;TRUE;TRUE;FALSE
52;"sp";"gam";"bootstrap";12;TRUE;TRUE;TRUE;FALSE
53;"sp";"gam";"bootstrap";13;TRUE;TRUE;TRUE;FALSE
54;"sp";"gam";"bootstrap";14;TRUE;TRUE;TRUE;FALSE
55;"sp";"gam";"bootstrap";15;TRUE;TRUE;TRUE;FALSE
56;"sp";"gam";"bootstrap";16;TRUE;TRUE;TRUE;FALSE
57;"sp";"gam";"bootstrap";17;TRUE;TRUE;TRUE;FALSE
58;"sp";"gam";"bootstrap";18;TRUE;TRUE;TRUE;FALSE
59;"sp";"gam";"bootstrap";19;TRUE;TRUE;TRUE;FALSE
60;"sp";"gam";"bootstrap";20;TRUE;TRUE;TRUE;FALSE
