"lon";"lat";"species";"reference";"ensemble_weighted";"cell"
-48.36106;-25.733446;"Epinephelus itajara";"GBIF";0.38520547747612;430033
-51.924185;4.894663;"Epinephelus itajara";"GBIF";0.683158755302429;1562
-47.224698;-0.524576;"Epinephelus itajara";"GBIF";0.459900408983231;77256
-48.332268;-27.271889;"Epinephelus itajara";"GBIF";0.367379128932953;451734
-38.724107;-17.856681;"Epinephelus itajara";"GBIF";0.553925216197968;320326
-38.645338;-17.809686;"Epinephelus itajara";"GBIF";0.525667488574982;319628
-34.970806;-6.371972;"Epinephelus itajara";"GBIF";0.590730965137482;159401
-52.29626;4.94111;"Epinephelus itajara";"GBIF";0.871074020862579;855
-44.264283;-0.869867;"Epinephelus itajara";"GBIF";0.321211725473404;82215
-35.0725;-5.56435;"Epinephelus itajara";"GBIF";0.553607285022736;148199
-52.19817;4.91331;"Epinephelus itajara";"GBIF";0.915205121040344;857
-39.15;-17.91;"Epinephelus itajara";"GBIF";0.569102585315704;321018
-39.06;-16.91;"Epinephelus itajara";"GBIF";0.574669063091278;307019
-51.98;4.63;"Epinephelus itajara";"GBIF";0.950768113136292;5061
-51.89;4.68;"Epinephelus itajara";"GBIF";0.950174689292908;4363
-51.78;4.6;"Epinephelus itajara";"GBIF";0.798142433166504;5765
-52.16;4.81;"Epinephelus itajara";"GBIF";0.953036785125732;2257
-52.21;4.86;"Epinephelus itajara";"GBIF";0.913324356079102;1556
-51.73;4.46;"Epinephelus itajara";"GBIF";0.910103499889374;7166
-51.98;4.68;"Epinephelus itajara";"GBIF";0.947783470153809;4361
-52.12;4.79;"Epinephelus itajara";"GBIF";0.94643372297287;2958
-51.68;4.37;"Epinephelus itajara";"GBIF";0.797462940216064;8567
-51.67;4.29;"Epinephelus itajara";"GBIF";0.893600821495056;9967
-50.2;3.27;"Epinephelus itajara";"GBIF";0.602648973464966;23997
-47.7;-0.7;"Epinephelus itajara";"GBIF";0.723159551620483;80047
